catalan,english
mans,hands
arreu,"all over, around"
saludable,healthy
anomenat,called
lectura,reading
assaig,"test, rehearsal, essay, testing"
matisos,shades
maniqueisme,Manichaeism
carregat,loaded
nouvinguts,new arrivals
esperat/esperada,expected
estanc,watertight (adj.); tobacconist (n.)
reptes,challenges
dictava,dictated
ambit,"field; field (of expertise, jurisdiction) sphere"
trenquin,they might break
acaba,"just, end up"
tot plegat,all together
canvi,change
algunes,some
gosat,dared
opuscle,booklet
acollida,host
autoodi,self-hatred
coartar,"to restrict, restricting"
viatjaven,"they were travelling, they travelled"
enllà,"beyond, over there"
bocabadat,speechless
xarxes,networks
capgirar,"to upend, to reverse"
diputat,MP
contundent,"conclusive, convincing"
buit,empty
arriscadar,to risk
titllat,labelled
nascut,born
pindola,pill
empobrit,impoverished
perjudicats,affected (m. pl.)
nivell,level
aportacions,contributions
batejar,to baptise
lluny,far
pobresa,poverty
